Tube N°;Date;Location;length (mm);weight(mg);pigmentation stage;condition factor;Food visible;remarks;;;;;;;;;;;;
125;14/04/2017;VA_PG_RO_PA;69;302;VIA4;0,92;F;;;;;;;;;;;;;
126;14/04/2017;VA_PG_RO_PA;76;388;VIA4;0,88;F;;;;;;;;;;;;;
127;14/04/2017;GA-SU;69;263;VIA2;0,80;F;turbid;;;;;;;;;;;;
128;14/04/2017;GA-SU;70;272;VIA0;0,79;F-;;;;;;;;;;;;;
129;14/04/2017;GA-SU;70;318;VIA3;0,93;F;;;;;;;;;;;;;
130;14/04/2017;GA-SU;64;243;VIA3;0,93;F;;;;;;;;;;;;;
131;14/04/2017;GA-SU;63;246;VIA3;0,98;F;;;;;;;;;;;;;
132;14/04/2017;VA_SC_RO_SU;68;280;VIA4;0,89;F;turbid;;;;;;;;;;;;
133;14/04/2017;VA_PG_RO_SU;71;263;VIA4;0,73;F;;;;;;;;;;;;;
134;14/04/2017;VA_PG_RO_SU;64;257;VIB;0,98;F;;;;;;;;;;;;;
135;14/04/2017;VA_PG_RO_SU;75;429;VIA4;1,02;F;;;;;;;;;;;;;
136;14/04/2017;VA_PG_RO_SU;61;202;VIA4;0,89;F;;;;;;;;;;;;;
137;14/04/2017;VA_PG_LO_SU;58;194;VIA4;0,99;F;;;;;;;;;;;;;
138;14/04/2017;VA_PG_LO_SU;68;311;VIB;0,99;;;;;;;;;;;;;;
139;14/04/2017;VA_PG_LO_SU;71;330;VIA4;0,92;;;;;;;;;;;;;;
140;14/04/2017;VA_PG_LO_SU;68;296;VIA4;0,94;;;;;;;;;;;;;;
141;14/04/2017;VA_PG_LO_SU;65;235;VIA1;0,86;F;;;;;;;;;;;;;
142;15/04/2017;VA_PG_KR_NA;62;241;VIA4;1,01;F-;;;;;;;;;;;;;
143;15/04/2017;VA_PG_KR_NA;63;253;VIA3;1,01;F;;;;;;;;;;;;;
144;15/04/2017;VA_PG_KR_NA;70;309;VIA4;0,90;;;;;;;;;;;;;;
145;15/04/2017;VA_PG_KR_NA;66;316;VIA0;1,10;;;;;;;;;;;;;;
146;15/04/2017;VA_PG_KR_NA;68;283;VIA3;0,90;F;;;;;;;;;;;;;
147;21/04/2017;VA_PG_LO_PA;67;207;VIA4;0,69;F;;;;;;;;;;;;;
148;21/04/2017;VA_PG_LO_PA;68;235;VIA4;0,75;F-;;;;;;;;;;;;;
149;21/04/2017;VA_PG_LO_PA;65;195;VIA4;0,71;F;;;;;;;;;;;;;
150;21/04/2017;VA_PG_LO_PA;72;279;VIA4;0,75;F;;;;;;;;;;;;;
151;21/04/2017;VA_PG_LO_PA;70;259;VIA4;0,76;F;;;;;;;;;;;;;
152;21/04/2017;VA_PG_RO_PA;68;188;VIA4;0,60;F;;;;;;;;;;;;;
153;21/04/2017;VA_PG_RO_PA;70;306;VIA4;0,89;F;;;;;;;;;;;;;
154;21/04/2017;VA_PG_RO_PA;60;169;VIA4;0,78;F;;;;;;;;;;;;;
155;21/04/2017;VA_PG_RO_PA;66;229;VIA4;0,80;F;;;;;;;;;;;;;
156;21/04/2017;VA_PG_RO_PA;65;195;VIB;0,71;F;;;;;;;;;;;;;
157;21/04/2017;VA_PG_LO_SU;69;239;VIB;0,73;F;copepod visible in guts;;;;;;;;;;;;
158;21/04/2017;VA_PG_LO_SU;67;300;VIA4;1,00;F;;;;;;;;;;;;;
159;21/04/2017;VA_PG_LO_SU;69;305;VIA4;0,93;F;;;;;;;;;;;;;
160;21/04/2017;VA_PG_LO_SU;65;227;VIA3;0,83;F;;;;;;;;;;;;;
161;21/04/2017;VA_PG_LO_SU;70;296;VIA4;0,86;F;;;;;;;;;;;;;
162;21/04/2017;GA-SU;65;199;VIA4;0,72;F;;;;;;;;;;;;;
163;21/04/2017;GA-SU;67;179;VIA4;0,60;F;;;;;;;;;;;;;
164;21/04/2017;GA-SU;69;276;VIA0;0,84;;;;;;;;;;;;;;
165;21/04/2017;GA-SU;66;228;VIA3;0,79;F-;;;;;;;;;;;;;
166;21/04/2017;GA-SU;71;280;VIA1;0,78;F-;;;;;;;;;;;;;
167;21/04/2017;VA_MI_RO_SU;65;219;VIA4;0,80;F-;;;;;;;;;;;;;
168;21/04/2017;VA_MI_RO_SU;66;270;VIA4;0,94;F;;;;;;;;;;;;;
169;21/04/2017;VA_MI_RO_SU;77;411;VIA4;0,90;F;;;;;;;;;;;;;
170;21/04/2017;VA_MI_RO_SU;69;266;VIA4;0,81;F;;;;;;;;;;;;;
171;21/04/2017;VA_MI_RO_SU;65;254;VIB;0,92;F;;;;;;;;;;;;;
172;22/04/2017;VA_PG_KR_NA;66;244;VIB;0,85;F-;;;;;;;;;;;;;
173;22/04/2017;VA_PG_KR_NA;72;308;VIA4;0,83;F-;;;;;;;;;;;;;
174;22/04/2017;VA_PG_KR_NA;74;324;VIB;0,80;F-;;;;;;;;;;;;;
175;22/04/2017;VA_PG_KR_NA;68;258;VIA4;0,82;F-;;;;;;;;;;;;;
176;28/04/2017;VA_PG_RO_PA;72;229;VIA4;0,61;F;Silvered body cavity;;;;;;;;;;;;
177;28/04/2017;VA_PG_RO_PA;63;300;VIB;1,20;F;;;;;;;;;;;;;
178;28/04/2017;VA_PG_RO_PA;70;330;VIB;0,96;F;;;;;;;;;;;;;
179;28/04/2017;VA_PG_RO_PA;74;402;VIB;0,99;F;;;;;;;;;;;;;
