"","nr","X14.00","X15.00","X16.00","X16.1.iso.17.0","cis.9.16.1","X17.00","X17.1.16.2","X18.00","cis.9.18.1","cis.11.18.1","X18.2n.6","X20.00","X18.3n.3","X20.01","X18.4n.3","X20.3n.6","X22.00","X20.4n.6","X20.4n.3","X20.5n.3","X24.01.00","X22.5n.6","X22.5n.3","X22.6n.3"
"71",49,3.448,0.608,24.275,0.663,4.43,0.557,0.442,6.4,17.535,3.897,0.983,0.174,0.628,1.359,0.257,0.152,0.054,2.107,2.765,6.466,1.926,0.456,3.563,16.414
"72",50,1.426,0.398,23.272,0.472,2.856,0.556,0.249,7.2,14.27,3.493,0.918,0.217,0.303,1.164,0.079,0.13,0.069,4.272,1.958,7.56,2.878,0.458,3.705,21.526
"73",57,2.537,0.685,26.554,0.899,4.23,0.665,0.451,7.43,18.571,4.095,0.842,0.225,0.301,1.222,0.131,0.202,0.148,3.116,1.575,5.337,3.29,0.463,2.511,13.977
"74",75,3.348,0.582,25.07,0.695,5.178,0.517,0.489,5.602,19.806,4.829,0.855,0.181,0.83,1.567,0.334,0.127,0.078,1.701,3.071,5.578,1.708,0.235,3.351,13.786
"75",80,3.519,0.533,24.646,0.619,4.965,0.524,0.416,5.566,18.698,4.049,0.948,0.208,0.753,1.657,0.346,0.136,0.054,2.174,3.303,6.295,1.845,0.248,2.997,14.951
"76",251,1.251,0.529,21.171,1.021,2.64,1.069,0.378,8.75,10.32,5.365,0.736,0.23,0.219,0.666,0.069,0.201,0.154,4.511,0.815,9.908,3.845,0.791,4.569,19.922
"77",271,1.69,0.599,20.342,1.113,3.835,1.26,0.505,8.477,10.305,6.392,0.946,0.238,0.224,0.779,0.129,0.22,0.175,3.937,0.896,11.839,2.575,0.647,4.964,16.877
"78",271,1.69,0.599,20.342,1.113,3.835,1.26,0.505,8.477,10.305,6.392,0.946,0.238,0.224,0.779,0.129,0.22,0.175,3.937,0.896,11.839,2.575,0.647,4.964,16.877
"79",272,1.191,0.38,18.937,0.933,2.532,1.164,0.454,10.166,8.953,5.124,0.749,0.279,0.193,0.549,0.08,0.178,0.177,5.643,0.667,11.529,3.086,0.497,5.03,20.118
"80",54,2.328,0.416,23.804,0.523,3.818,0.412,0.276,6.237,16.959,3.946,0.958,0.189,0.647,1.266,0.205,0.118,0.08,2.781,2.824,6.656,2.425,0.293,3.352,18.813
"81",55,1.621,0.429,22.723,0.431,3.2,0.531,0.254,6.744,15.216,3.46,0.75,0.217,0.405,0.54,0.082,0.134,0.096,4.222,2.026,6.29,3.077,0.464,3.301,22.856
"82",81,3.157,0.607,24.866,0.497,4.155,0.542,0.447,5.777,14.766,3.987,1.072,0.211,0.596,1.005,0.23,0.167,0.098,2.436,2.58,6.984,1.813,0.606,3.759,19.074
"83",254,1.659,0.5,18.774,1.268,4.06,0.986,0.488,8.059,8.855,6.339,1.017,0.241,0.358,0.577,0.115,0.229,0.133,4.369,0.85,13.083,3.086,0.545,5.253,17.471
"84",273,1.717,0.543,18.409,1.583,3.836,1.24,0.484,8.303,9.168,7.316,0.819,0.231,0.201,0.423,0.084,0.239,0.18,5.279,0.655,12.875,2.509,0.505,5.861,15.452
"85",274,1.362,0.331,20.535,0.646,2.959,0.698,0.449,9.758,10.824,4.229,0.802,0.389,0.293,1.152,0.125,0.184,0.196,4.513,0.992,9.649,3.536,0.556,3.702,21.382
"86",275,0.992,0.434,21.519,0.687,2.562,1.082,0.377,9.204,10.671,4.786,0.724,0.202,0.224,0.675,0.093,0.184,0.153,4.194,0.804,10.012,3.812,0.412,4.112,21.911
"87",248,2.005,0.431,21.033,0.608,6.303,0.811,0.581,8.284,8.641,5.39,1.098,0.284,0.269,0.295,0.162,0.324,0.133,4.142,0.974,11.865,2.755,0.549,3.747,18.683
"88",249,1.274,0.384,20.22,0.609,3.059,0.811,0.31,9.382,9.695,4.135,1.066,0.333,0.585,0.39,0.135,0.271,0.321,4.787,1.23,10.827,3.411,0.493,3.573,21.99
"89",268,1.251,0.433,22.159,0.966,2.835,0.746,0.341,9.336,12.811,4.679,0.787,0.313,0.309,0.358,0.072,0.136,0.158,4.647,1.107,8.573,4.112,0.627,2.861,19.725
"90",98,2.813,0.45,23.98,0.571,4.702,0.58,0.393,6.305,16.72,4.096,0.928,0.208,0.592,1.464,0.254,0.147,0.071,2.571,2.62,6.707,2.103,0.494,3.172,17.863
"91",52,2.875,0.505,22.802,0.642,5.059,0.509,0.41,5.898,18.431,4.684,0.91,0.188,0.756,1.562,0.258,0.147,0.081,2.036,2.679,7.061,1.721,0.354,3.677,16.132
"92",51,2.646,0.538,24.248,0.609,4.354,0.551,0.454,5.941,16.791,4.507,0.858,0.204,0.587,1.228,0.233,0.135,0.086,2.397,2.389,6.388,2.426,0.548,3.31,18.115
"93",48,2.233,0.585,23.299,0.601,3.934,0.571,0.387,6.299,16.83,3.805,0.886,0.245,0.448,1.425,0.194,0.18,0.106,3.035,2.275,7.574,2.557,0.38,3.724,18.114
"94",250,1.97,0.452,20.24,0.863,4.132,0.93,0.473,8.885,9.238,5.412,1.032,0.3,0.326,0.502,0.104,0.249,0.173,3.933,1.09,11.865,3.383,0.588,4.764,17.991
