nr;datum;Locatie;Locatie_A;Locatie_Oever;Methode;;;Microplastics/Contaminatie/vezels (katoen?);Cladocera sp.;Annelida;Polychaete;Isopoda;Diptera sp.;Chironomida sp.;Crustaceae sp.;Cyclopoida sp.;Unidentified sp.;Amphipoda sp.;Calanoida sp.;Copepoda sp.;Harpacticoid Copepod;Hexapode sp. ();keverlarve;Pennate diatomee;Plantae sp.;Empty
140;14/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
141;14/04/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
142;15/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
143;15/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
144;15/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
145;15/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
146;15/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
147;21/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
148;21/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
149;21/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;1;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0
150;21/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0
151;21/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;1;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0
152;21/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0
153;21/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
154;21/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;1;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0
