nr;X14.00;X15.00;X16.00;X16.1.iso.17.0;cis.9.16.1;X17.00;X17.1.16.2;X18.00;cis.9.18.1;cis.11.18.1;X18.2n.6;X20.00;X18.3n.3;X20.01;X18.4n.3;X20.3n.6;X22.00;X20.4n.6;X20.4n.3;X20.5n.3;X24.01.00;X22.5n.6;X22.5n.3;X22.6n.3;;;;;;
107;4.65;2.955;0.530;24.697;0.655;4.423;0.459;0.412;6.379;18.875;4.419;0.930;0.222;0.659;1.403;0.310;0.130;0.070;2.410;2.976;8.083;2.291;0.382;3.749;;;;;;
108;4.44;1.873;0.353;19.018;0.419;2.959;0.397;0.249;5.467;12.923;2.921;0.857;0.168;0.434;0.939;0.167;0.135;0.078;2.223;2.204;5.780;1.791;0.372;2.615;;;;;;
109;7.58;4.010;0.627;26.667;0.834;5.605;0.644;0.543;6.425;22.367;4.952;1.066;0.170;0.950;1.556;0.403;0.197;0.102;2.045;3.823;7.255;1.761;0.343;4.117;;;;;;
110;30.55;0.091;0.027;1.185;0.064;0.229;0.061;0.024;0.587;0.559;0.332;0.064;0.020;0.017;0.036;0.005;0.016;0.011;0.285;0.050;0.773;0.189;0.024;0.328;;;;;;
111;16.03;0.531;0.126;5.176;0.357;1.193;0.257;0.150;2.104;2.834;1.830;0.316;0.057;0.129;0.091;0.031;0.067;0.036;1.019;0.359;2.948;0.698;0.109;1.272;;;;;;
112;7.17;3.151;0.556;22.181;0.606;4.048;0.509;0.404;5.848;16.023;3.561;0.898;0.159;0.574;1.242;0.234;0.138;0.049;1.925;2.526;5.909;1.760;0.416;3.256;;;;;;
113;2.70;1.291;0.360;21.067;0.428;2.585;0.503;0.226;6.518;12.918;3.162;0.831;0.196;0.274;1.053;0.072;0.118;0.062;3.868;1.773;6.843;2.605;0.414;3.354;;;;;;
114;6.96;1.521;0.410;15.912;0.539;2.535;0.399;0.270;4.453;11.129;2.454;0.505;0.135;0.181;0.732;0.078;0.121;0.088;1.867;0.944;3.198;1.971;0.278;1.505;;;;;;
115;14.57;1.889;0.328;14.148;0.392;2.922;0.292;0.276;3.162;11.177;2.725;0.483;0.102;0.469;0.885;0.188;0.072;0.044;0.960;1.733;3.148;0.964;0.133;1.891;;;;;;
116;9.41;3.660;0.555;25.633;0.644;5.164;0.545;0.433;5.788;19.447;4.211;0.986;0.216;0.784;1.724;0.360;0.141;0.056;2.261;3.435;6.547;1.919;0.258;3.117;;;;;;
117;6.73;0.501;0.212;8.480;0.409;1.057;0.428;0.151;3.505;4.134;2.149;0.295;0.092;0.088;0.267;0.028;0.081;0.062;1.807;0.326;3.969;1.540;0.317;1.830;;;;;;
118;6.54;0.774;0.274;9.317;0.510;1.757;0.577;0.231;3.883;4.720;2.928;0.434;0.109;0.103;0.357;0.059;0.101;0.080;1.803;0.410;5.422;1.179;0.296;2.274;;;;;;
119;6.36;0.373;0.119;5.925;0.292;0.792;0.364;0.142;3.181;2.801;1.603;0.234;0.087;0.061;0.172;0.025;0.056;0.055;1.766;0.209;3.607;0.966;0.155;1.574;;;;;;
120;6.71;1.884;0.337;19.270;0.423;3.091;0.334;0.223;5.049;13.729;3.194;0.776;0.153;0.524;1.025;0.166;0.096;0.065;2.251;2.286;5.388;1.963;0.237;2.714;;;;;;
121;4.61;1.142;0.302;16.007;0.304;2.254;0.374;0.179;4.751;10.719;2.437;0.528;0.153;0.285;0.381;0.058;0.094;0.068;2.974;1.427;4.431;2.167;0.327;2.326;;;;;;
122;5.09;2.680;0.515;21.108;0.422;3.527;0.460;0.379;4.904;12.535;3.384;0.910;0.179;0.506;0.853;0.195;0.142;0.083;2.067;2.190;5.929;1.539;0.515;3.191;;;;;;
123;4.31;1.207;0.364;13.662;0.923;2.955;0.718;0.355;5.864;6.444;4.613;0.740;0.175;0.260;0.420;0.084;0.167;0.097;3.179;0.619;9.520;2.246;0.396;3.823;;;;;;
124;4.76;1.012;0.320;10.852;0.933;2.262;0.731;0.285;4.895;5.405;4.313;0.483;0.136;0.119;0.250;0.050;0.141;0.106;3.112;0.386;7.590;1.479;0.298;3.455;;;;;;
125;5.37;0.607;0.147;9.147;0.288;1.318;0.311;0.200;4.347;4.821;1.884;0.357;0.173;0.131;0.513;0.056;0.082;0.087;2.010;0.442;4.298;1.575;0.248;1.649;;;;;;
126;5.55;0.500;0.218;10.837;0.346;1.290;0.545;0.190;4.636;5.374;2.410;0.365;0.102;0.113;0.340;0.047;0.092;0.077;2.112;0.405;5.042;1.920;0.207;2.071;;;;;;
127;6.18;2.835;0.450;21.154;0.529;4.232;0.491;0.401;5.173;16.246;3.678;0.841;0.158;0.685;1.393;0.283;0.111;0.046;1.790;2.844;5.121;1.395;0.332;3.032;;;;;;
